,ARTIST,Rank,TITLE,Year,ARTIST_Full
104,Jason Derulo,6,Talk Dirty,2014.0,Jason Derulo feat. 2 Chainz
105,MAGIC!,7,Rude,2014.0,MAGIC!
106,Meghan Trainor,8,All About That Bass,2014.0,Meghan Trainor
107,Ariana Grande,9,Problem,2014.0,Ariana Grande feat. Iggy Azalea
108,Sam Smith,10,Stay With Me,2014.0,Sam Smith
109,Pitbull,11,Timber,2014.0,Pitbull feat. Ke$ha
110,Bastille,12,Pompeii,2014.0,Bastille
111,Taylor Swift,13,Shake It Off,2014.0,Taylor Swift
112,Nico and Vinz,14,Am I Wrong,2014.0,Nico and Vinz
113,DJ Snake and Lil Jon,15,Turn Down For What,2014.0,DJ Snake and Lil Jon
114,Eminem,16,The Monster,2014.0,Eminem feat. Rihanna
115,A Great Big World and Christina Aguilera,17,Say Something,2014.0,A Great Big World and Christina Aguilera
116,Lorde,18,Team,2014.0,Lorde
117,Passenger,19,Let Her Go,2014.0,Passenger
118,Lorde,20,Royals,2014.0,Lorde
119,Idina Menzel,21,Let It Go,2014.0,Idina Menzel
120,Avicii,22,Wake Me Up!,2014.0,Avicii
121,Imagine Dragons,23,Demons,2014.0,Imagine Dragons
122,One Direction,24,Story Of My Life,2014.0,One Direction
123,Sia,25,Chandelier,2014.0,Sia
124,Iggy Azalea,26,Black Widow,2014.0,Iggy Azalea feat. Rita Ora
125,"Jessie J, Ariana Grande & Nicki Minaj",27,Bang Bang,2014.0,"Jessie J, Ariana Grande & Nicki Minaj"
126,Disclosure,28,Latch,2014.0,Disclosure feat. Sam Smith
127,Maroon 5,29,Maps,2014.0,Maroon 5
128,Chris Brown,30,Loyal,2014.0,Chris Brown feat. Lil Wayne and French Montana or Too $hort or Tyga
129,American Authors,31,Best Day Of My Life,2014.0,American Authors
130,Tove Lo,32,Habits (Stay High),2014.0,Tove Lo
131,Calvin Harris,33,Summer,2014.0,Calvin Harris
132,Charli XCX,34,Boom Clap,2014.0,Charli XCX
133,Beyonce,35,Drunk In Love,2014.0,Beyonce feat. Jay Z
134,Nicki Minaj,36,Anaconda,2014.0,Nicki Minaj
135,Ariana Grande,37,Break Free,2014.0,Ariana Grande feat. Zedd
136,Enrique Iglesias,38,Bailando,2014.0,Enrique Iglesias feat. Descemer Bueno and Gente De Zona
137,Ellie Goulding,39,Burn,2014.0,Ellie Goulding
138,Jason Derulo,40,Wiggle,2014.0,Jason Derulo feat. Snoop Dogg
139,Clean Bandit,41,Rather Be,2014.0,Clean Bandit feat. Jess Glynne
140,Jeremih,42,Don’t Tell ‘Em,2014.0,Jeremih feat. Yg
141,Kid Ink,43,Show Me,2014.0,Kid Ink feat. Chris Brown
142,Miley Cyrus,44,Wrecking Ball,2014.0,Miley Cyrus
143,Justin Timberlake,45,Not A Bad Thing,2014.0,Justin Timberlake
144,Katy Perry,46,Roar,2014.0,Katy Perry
145,Paramore,47,Ain’t It Fun,2014.0,Paramore
146,Aloe Blacc,48,The Man,2014.0,Aloe Blacc
147,Florida Georgia Line,49,This Is How We Roll,2014.0,Florida Georgia Line feat. Luke Bryan
148,Mkto,50,Classic,2014.0,Mkto
149,Coldplay,51,A Sky Full Of Stars,2014.0,Coldplay
150,Ed Sheeran,52,Don’t,2014.0,Ed Sheeran
151,Trey Songz,53,Na Na,2014.0,Trey Songz
152,Bobby Shmurda,54,Hot Boy,2014.0,Bobby Shmurda
153,Drake,55,"Hold On, We’re Going Home",2014.0,Drake feat. Majid Jordan
154,Ed Sheeran,56,Sing,2014.0,Ed Sheeran
155,Imagine Dragons,57,Radioactive,2014.0,Imagine Dragons
156,Yg,58,My Hitta,2014.0,Yg feat. Jeezy and Rich Homie Quan
157,Echosmith,59,Cool Kids,2014.0,Echosmith
158,Avicii,60,Hey Brother,2014.0,Avicii
159,Jason Derulo,61,Trumpets,2014.0,Jason Derulo
160,Maroon 5,62,Animals,2014.0,Maroon 5
161,Jason Aldean,63,Burnin’ It Down,2014.0,Jason Aldean
162,Luke Bryan,64,Play It Again,2014.0,Luke Bryan
163,Tinashe,65,2 On,2014.0,Tinashe feat. Schoolboy Q
164,Florida Georgia Line,66,Dirt,2014.0,Florida Georgia Line
165,OneRepublic,67,Love Runs Out,2014.0,OneRepublic
166,Brantley Gilbert,68,Bottoms Up,2014.0,Brantley Gilbert
167,Becky G,69,Shower,2014.0,Becky G
168,Rixton,70,Me And My Broken Heart,2014.0,Rixton
169,Martin Garrix,71,Animals,2014.0,Martin Garrix
170,Rich Gang,72,Lifestyle,2014.0,Rich Gang feat. Young Thug and Rich Homie Quan
171,Kenny Chesney,73,American Kids,2014.0,Kenny Chesney
172,Sara Bareilles,74,Brave,2014.0,Sara Bareilles
173,The Neighbourhood,75,Sweater Weather,2014.0,The Neighbourhood
174,Sam Hunt,76,Leave The Night On,2014.0,Sam Hunt
175,Chris Brown,77,New Flame,2014.0,Chris Brown feat. Usher and Rick Ross
176,Michael Jackson and Justin Timberlake,78,Love Never Felt So Good,2014.0,Michael Jackson and Justin Timberlake
177,Dierks Bentley,79,Drunk On A Plane,2014.0,Dierks Bentley
178,Katy Perry,80,Birthday,2014.0,Katy Perry
179,Lady Antebellum,81,Bartender,2014.0,Lady Antebellum
180,Naughty Boy,82,La La La,2014.0,Naughty Boy feat. Sam Smith
181,Robin Thicke,83,Blurred Lines,2014.0,Robin Thicke feat. T.I. and Pharrell
182,Lady Gaga,84,Do What U Want,2014.0,Lady Gaga feat. R. Kelly
183,Shakira,85,Can’t Remember To Forget You,2014.0,Shakira feat. Rihanna
184,5 Seconds Of Summer,86,Amnesia,2014.0,5 Seconds Of Summer
185,T.I.,87,No Mediocre,2014.0,T.I. feat. Iggy Azalea
186,Kongos,88,Come With Me Now,2014.0,Kongos
187,Lil Wayne,89,Believe Me,2014.0,Lil Wayne feat. Drake
188,Mike Will Made-It,90,23,2014.0,"Mike Will Made-It feat. Miley Cyrus, Wiz Khalifa and Juicy J"
189,Jake Owen,91,Beachin’,2014.0,Jake Owen
190,Macklemore & Ryan Lewis,92,White Walls,2014.0,Macklemore & Ryan Lewis feat. Schoolboy Q and Hollis
191,5 Seconds Of Summer,93,She Looks So Perfect,2014.0,5 Seconds Of Summer
192,Zedd,94,Stay The Night,2014.0,Zedd feat. Hayley Williams
193,Beyonce,95,Partition,2014.0,Beyonce
194,Schoolboy Q,96,Studio,2014.0,Schoolboy Q feat. BJ The Chicago Kid
195,Drake,97,0 To 100 / The Catch Up,2014.0,Drake
196,Lee Brice,98,I Don’t Dance,2014.0,Lee Brice
197,Miranda Lambert and Carrie Underwood,99,Somethin’ Bad,2014.0,Miranda Lambert and Carrie Underwood
198,Macklemore & Ryan Lewis,1,Can't Hold Us,2013.0,Macklemore & Ryan Lewis Featuring Ray Dalton 
199,Baauer,2,Harlem Shake,2013.0,Baauer 
200,P!nk,3,Just Give Me A Reason,2013.0,P!nk Featuring Nate Ruess 
201,Robin Thicke,4,Blurred Lines,2013.0,Robin Thicke Featuring T.I. + Pharrell 
202,Lorde,5,Royals,2013.0,Lorde 
203,Robin Thicke,6,Blurred Lines,2013.0,Robin Thicke Featuring T.I. + Pharrell 
204,Katy Perry,7,Roar,2013.0,Katy Perry 
205,Justin Timberlake,8,Mirrors,2013.0,Justin Timberlake 
206,Daft Punk,9,Get Lucky,2013.0,Daft Punk Featuring Pharrell Williams 
207,Miley Cyrus,10,We Can't Stop,2013.0,Miley Cyrus 
208,Miley Cyrus,11,Wrecking Ball,2013.0,Miley Cyrus 
209,will.i.am & Britney Spears,12,Scream & Shout,2013.0,will.i.am & Britney Spears 
210,Justin Timberlake,13,Suit & Tie,2013.0,Justin Timberlake Featuring Jay Z 
211,Rihanna,14,Stay,2013.0,Rihanna Featuring Mikky Ekko 
212,Eminem,15,Berzerk,2013.0,Eminem 
213,Eminem,16,The Monster,2013.0,Eminem Featuring Rihanna 
214,Drake,17,"Hold On, We're Going Home",2013.0,Drake Featuring Majid Jordan 
215,Florida Georgia Line,18,Cruise,2013.0,Florida Georgia Line Featuring Nelly 
216,Bruno Mars,19,Treasure,2013.0,Bruno Mars 
217,Avicii,20,Wake Me Up!,2013.0,Avicii 
218,Jay Z,21,Holy Grail,2013.0,Jay Z Featuring Justin Timberlake 
219,Drake,22,Started From The Bottom,2013.0,Drake 
220,Anna Kendrick,23,Cups (Pitch Perfect's When I'm Gone),2013.0,Anna Kendrick 
221,Selena Gomez,24,Come & Get It,2013.0,Selena Gomez 
222,Lady Gaga,25,Applause,2013.0,Lady Gaga 
223,One Direction,26,Story Of My Life,2013.0,One Direction 
224,Imagine Dragons,27,Demons,2013.0,Imagine Dragons 
225,Pitbull,28,Feel This Moment,2013.0,Pitbull Featuring Christina Aguilera 
226,Zedd,29,Clarity,2013.0,Zedd Featuring Foxes 
227,Ylvis,30,The Fox,2013.0,Ylvis 
228,Lil Wayne,31,Love Me,2013.0,Lil Wayne Featuring Drake & Future 
229,Icona Pop,32,I Love It,2013.0,Icona Pop Featuring Charli XCX 
230,Capital Cities,33,Safe And Sound,2013.0,Capital Cities 
231,OneRepublic,34,Counting Stars,2013.0,OneRepublic 
232,Demi Lovato,35,Heart Attack,2013.0,Demi Lovato 
233,Ariana Grande,36,The Way,2013.0,Ariana Grande Featuring Mac Miller 
234,Maroon 5,37,Love Somebody,2013.0,Maroon 5 
235,Lana Del Rey & Cedric Gervais,38,Summertime Sadness,2013.0,Lana Del Rey & Cedric Gervais 
236,Macklemore & Ryan Lewis,39,Same Love,2013.0,Macklemore & Ryan Lewis Feat. Mary Lambert 
237,PSY,41,Gentleman,2013.0,PSY 
238,Passenger,42,Let Her Go,2013.0,Passenger 
239,Blake Shelton,43,Boys Round Here,2013.0,Blake Shelton Feat. Pistol Annies & Friends 
240,Fall Out Boy,44,Light Em Up,2013.0,Fall Out Boy 
241,2 Chainz & Wiz Khalifa,45,We Own It (Fast & Furious),2013.0,2 Chainz & Wiz Khalifa 
242,Luke Bryan,46,That's My Kind Of Night,2013.0,Luke Bryan 
243,Eminem,47,Survival,2013.0,Eminem 
244,will.i.am,48,#thatPOWER,2013.0,will.i.am Featuring Justin Bieber 
245,Calvin Harris,49,I Need Your Love,2013.0,Calvin Harris Featuring Ellie Goulding 
246,Mariah Carey,50,#Beautiful,2013.0,Mariah Carey Featuring Miguel 
247,Eminem,51,Rap God,2013.0,Eminem 
248,Darius Rucker,52,Wagon Wheel,2013.0,Darius Rucker 
249,Luke Bryan,53,Crash My Party,2013.0,Luke Bryan 
250,Jason Derulo,54,The Other Side,2013.0,Jason Derulo 
251,One Direction,55,Best Song Ever,2013.0,One Direction 
252,Rihanna,56,Pour It Up,2013.0,Rihanna 
253,fun.,57,Carry On,2013.0,fun. 
254,Miranda Lambert,58,Mama's Broken Heart,2013.0,Miranda Lambert 
255,J. Cole,59,Power Trip,2013.0,J. Cole Featuring Miguel 
256,Taylor Swift,60,22,2013.0,Taylor Swift 
257,Rocko,61,U.O.E.N.O.,2013.0,Rocko Featuring Future & Rick Ross 
258,Drake,62,All Me,2013.0,Drake Featuring 2 Chainz & Big Sean 
259,Pitbull,63,Timber,2013.0,Pitbull Featuring Ke$ha 
260,Tim McGraw With Taylor Swift,64,Highway Don't Care,2013.0,Tim McGraw With Taylor Swift 
261,Hunter Hayes,65,I Want Crazy,2013.0,Hunter Hayes 
262,YG,66,My Hitta,2013.0,YG Featuring Jeezy & Rich Homie Quan 
263,Chris Brown,67,Love More,2013.0,Chris Brown Featuring Nicki Minaj 
264,Paramore,68,Still Into You,2013.0,Paramore 
265,Blake Shelton,69,Sure Be Cool If You Did,2013.0,Blake Shelton 
266,Olly Murs,70,Troublemaker,2013.0,Olly Murs Featuring Flo Rida 
267,Phillip Phillips,71,"Gone, Gone, Gone",2013.0,Phillip Phillips 
268,Thomas Rhett,72,It Goes Like This,2013.0,Thomas Rhett 
269,Robin Thicke,73,Give It 2 U,2013.0,Robin Thicke Featuring Kendrick Lamar 
270,Katy Perry,74,Unconditionally,2013.0,Katy Perry 
271,Emeli Sande,75,Next To Me,2013.0,Emeli Sande 
272,Ke$ha,76,C'Mon,2013.0,Ke$ha 
273,Wale,77,Bad,2013.0,Wale Featuring Tiara Thomas 
274,Ciara,78,Body Party,2013.0,Ciara 
275,J. Cole,79,Crooked Smile,2013.0,J. Cole Featuring TLC 
276,Randy Houser,80,Runnin' Outta Moonlight,2013.0,Randy Houser 
277,Wale,81,Bad,2013.0,Wale Featuring Tiara Thomas Or Rihanna 
278,Bruno Mars,82,Gorilla,2013.0,Bruno Mars 
279,Florida Georgia Line,83,Get Your Shine On,2013.0,Florida Georgia Line 
280,Lady Antebellum,84,Downtown,2013.0,Lady Antebellum 
281,Justin Timberlake,85,Take Back The Night,2013.0,Justin Timberlake 
282,Avril Lavigne,86,Here's To Never Growing Up,2013.0,Avril Lavigne 
283,Brett Eldredge,87,Don't Ya,2013.0,Brett Eldredge 
284,Florida Georgia Line,88,Round Here,2013.0,Florida Georgia Line 
285,Selena Gomez,89,Slow Down,2013.0,Selena Gomez 
286,Sage The Gemini,90,Gas Pedal,2013.0,Sage The Gemini Featuring IamSu 
287,Lady Gaga,91,Venus,2013.0,Lady Gaga 
288,Kendrick Lamar,92,"Bitch, Don't Kill My Vibe",2013.0,Kendrick Lamar 
289,Ace Hood,93,Bugatti,2013.0,Ace Hood Featuring Future & Rick Ross 
290,The Neighbourhood,94,Sweater Weather,2013.0,The Neighbourhood 
291,Tyler Farr,95,Redneck Crazy,2013.0,Tyler Farr 
292,Krewella,96,Alive,2013.0,Krewella 
293,Sara Bareilles,97,Brave,2013.0,Sara Bareilles 
294,The FiNATTiCZ,98,Don't Drop That Thun Thun!,2013.0,The FiNATTiCZ 
295,Justin Timberlake,99,TKO,2013.0,Justin Timberlake 
296,Big Sean,100,,2013.0,Big Sean Featuring Lil Wayne & Jhene Aiko 
297,Mike WiLL Made-It,40,23,2013.0,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
298,Gotye,1,Somebody That I Used To Know,2012.0,Gotye feat. Kimbra
299,Carly Rae Jepsen,2,Call Me Maybe,2012.0,Carly Rae Jepsen
300,fun.,3,We Are Young,2012.0,fun. feat. Janelle Monae
301,Maroon 5,4,Payphone,2012.0,Maroon 5 feat. Wiz Khalifa
302,Ellie Goulding,5,Lights,2012.0,Ellie Goulding
303,The Wanted,6,Glad You Came,2012.0,The Wanted
304,Kelly Clarkson,7,Stronger (What Doesn’t Kill You),2012.0,Kelly Clarkson
305,Rihanna,8,We Found Love,2012.0,Rihanna feat. Calvin Harris
306,Nicki Minaj,9,Starships,2012.0,Nicki Minaj
307,One Direction,10,What Makes You Beautiful,2012.0,One Direction
308,Flo Rida,11,Wild Ones,2012.0,Flo Rida feat. Sia
309,Adele,12,Set Fire To The Rain,2012.0,Adele
310,LMFAO,13,Sexy And I Know It,2012.0,LMFAO
311,fun.,14,Some Nights,2012.0,fun.
312,Katy Perry,15,Wide Awake,2012.0,Katy Perry
313,Flo Rida,16,Good Feeling,2012.0,Flo Rida
314,Flo Rida,17,Whistle,2012.0,Flo Rida
315,Maroon 5,18,One More Night,2012.0,Maroon 5
316,Train,19,Drive By,2012.0,Train
317,Drake,20,The Motto,2012.0,Drake feat. Lil Wayne
318,Rihanna,21,Where Have You Been,2012.0,Rihanna
319,Neon Trees,22,Everybody Talks,2012.0,Neon Trees
320,Drake,23,Take Care,2012.0,Drake feat. Rihanna
321,David Guetta,24,Titanium,2012.0,David Guetta feat. Sia
322,Jason Mraz,25,I Won’t Give Up,2012.0,Jason Mraz
323,Bruno Mars,26,It Will Rain,2012.0,Bruno Mars
324,"Kanye West, Big Sean, Pusha T, 2 Chainz",27,Mercy,2012.0,"Kanye West, Big Sean, Pusha T, 2 Chainz"
325,Justin Bieber,28,Boyfriend,2012.0,Justin Bieber
326,LMFAO,29,Party Rock Anthem,2012.0,LMFAO feat. Lauren Bennett & GoonRock
327,Alex Clare,30,Too Close,2012.0,Alex Clare
328,Katy Perry,31,Part Of Me,2012.0,Katy Perry
329,Snoop Dogg and Wiz Khalifa,32,"Young, Wild & Free",2012.0,Snoop Dogg and Wiz Khalifa feat. Bruno Mars
330,Taylor Swift,33,We Are Never Ever Getting Back Together,2012.0,Taylor Swift
331,Justin Bieber,34,As Long as You Love Me,2012.0,Justin Bieber feat. Big Sean
332,David Guetta,35,Turn Me On,2012.0,David Guetta feat. Nicki Minaj
333,Maroon 5,36,Moves Like Jagger,2012.0,Maroon 5 feat. Christina Aguilera
334,P!nk,37,Blow Me (One Last Kiss),2012.0,P!nk
335,Owl City and Carly Rae Jepsen,38,Good Time,2012.0,Owl City and Carly Rae Jepsen
336,Demi Lovato,39,Give Your Heart A Break,2012.0,Demi Lovato
337,Jay Z and Kanye West,40,Ni**As In Paris,2012.0,Jay Z and Kanye West
338,Katy Perry,41,The One That Got Away,2012.0,Katy Perry
339,Calvin Harris,42,Feel So Close,2012.0,Calvin Harris
340,Adele,43,Someone Like You,2012.0,Adele
341,Usher,44,Scream,2012.0,Usher
342,Tyga,45,Rack City,2012.0,Tyga
343,Jessie J,46,Domino,2012.0,Jessie J
344,PSY,47,Gangnam Style,2012.0,PSY
345,Pitbull,48,International Love,2012.0,Pitbull feat. Chris Brown
346,Phillip Phillips,49,Home,2012.0,Phillip Phillips
347,David Guetta,50,Without You,2012.0,David Guetta feat. Usher
348,Gym Class Heroes,51,Ass Back Home,2012.0,Gym Class Heroes feat. Neon Hitch
349,Hunter Hayes,52,Wanted,2012.0,Hunter Hayes
350,Luke Bryan,53,Drunk On You,2012.0,Luke Bryan
351,2 Chainz,54,No Lie,2012.0,2 Chainz feat. Drake
352,Cher Lloyd,55,Want U Back,2012.0,Cher Lloyd
353,Chris Brown,56,Don’t Wake Me Up,2012.0,Chris Brown
354,Big Sean,57,Dance (A$$),2012.0,Big Sean feat. Nicki Minaj
355,Eric Church,58,Springsteen,2012.0,Eric Church
356,Karmin,59,Brokenhearted,2012.0,Karmin
357,Gavin DeGraw,60,Not Over You,2012.0,Gavin DeGraw
358,Gym Class Heroes,61,Stereo Hearts,2012.0,Gym Class Heroes feat. Adam Levine
359,Pitbull,62,Back In Time,2012.0,Pitbull
360,J. Cole,63,Work Out,2012.0,J. Cole
361,Adele,64,Rumour Has It,2012.0,Adele
362,Calvin Harris,65,Let’s Go,2012.0,Calvin Harris feat. Ne-Yo
363,Carrie Underwood,66,Good Girl,2012.0,Carrie Underwood
364,Little Big Town,67,Pontoon,2012.0,Little Big Town
365,The Lumineers,68,Ho Hey,2012.0,The Lumineers
366,Coldplay,69,Paradise,2012.0,Coldplay
367,Carrie Underwood,70,Blown Away,2012.0,Carrie Underwood
368,Adele,71,Rolling In The Deep,2012.0,Adele
369,Usher,72,Climax,2012.0,Usher
370,Wiz Khalifa,73,"Work Hard, Play Hard",2012.0,Wiz Khalifa
371,Ne-Yo,74,Let Me Love You (Until You Learn To Love Yourself),2012.0,Ne-Yo
372,Nicki Minaj,75,Pound The Alarm,2012.0,Nicki Minaj
373,Kenny Chesney,76,Come Over,2012.0,Kenny Chesney
374,Trey Songz,77,Heart Attack,2012.0,Trey Songz
375,Kirko Bangz,78,Drank In My Cup,2012.0,Kirko Bangz
376,Rihanna,79,Birthday Cake,2012.0,Rihanna feat. Chris Brown
377,B.o.B,80,So Good,2012.0,B.o.B
378,Train,81,50 Ways To Say Goodbye,2012.0,Train
379,Toby Keith,82,Red Solo Cup,2012.0,Toby Keith
380,Selena Gomez and The Scene,83,Love You Like A Love Song,2012.0,Selena Gomez and The Scene
381,Chris Brown,84,Turn Up The Music,2012.0,Chris Brown
382,Ke$ha,85,Die Young,2012.0,Ke$ha
383,T-Pain,86,5 O’Clock,2012.0,T-Pain feat. Wiz Khalifa and Lily Allen
384,Christina Perri,87,A Thousand Years,2012.0,Christina Perri
385,Jason Aldean,88,Take A Little Ride,2012.0,Jason Aldean
386,Rihanna,89,You Da One,2012.0,Rihanna
387,Havana Brown,90,We Run The Night,2012.0,Havana Brown feat. Pitbull
388,Imagine Dragons,91,It’s Time,2012.0,Imagine Dragons
389,Ca$h Out,92,Cashin’ Out,2012.0,Ca$h Out
390,Luke Bryan,93,I Don’t Want This Night To End,2012.0,Luke Bryan
