THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
People and places,A Certain Romance,Arctic Monkeys,2006,http://open.spotify.com/track/1sW0hSskhK2o3okrBoNd57
Sex,When The Sun Goes Down,Arctic Monkeys,"2,006.00",http://open.spotify.com/track/2iuIqCjjPKg3DYwHHAo0kJ
Party songs,I Bet You Look Good On theÂ Dancefloor,Arctic Monkeys,2005,http://open.spotify.com/track/5U2OpjVE3r64Nm8tyR2T9S
Love,I Say A Little Prayer,Aretha Franklin,1968,http://open.spotify.com/track/6bBwFPgVdWxuc4uWEyALCa
Love,I Never Loved a Man (The Way I Love You),Aretha Franklin,1967,http://open.spotify.com/track/0FE39WU0AcIcXdkMK0fxkr
Politics and protest,Respect,Aretha Franklin,1967,http://open.spotify.com/track/3OYh9wHWqWD6bpmO3WQNlM
Party songs,Sweet Soul Music,Arthur Conley,1967,http://open.spotify.com/track/0pvA063uNyGQFp7DNtmk0P
Heartbreak,A Little Lost,Arthur Russell,1994,
Party songs,Begin the Beguine,Artie Shaw,1938,http://open.spotify.com/track/7zZoN83WXRCiVCyzdCFihV
Party songs,Bourgie Bourgie ,Ashford and Simpson,1979,http://open.spotify.com/track/2qwFWKUwT7SqADAWtWEn1s
Life and death,So Nice (Summer Samba),Astrud Gilberto,1966,http://open.spotify.com/track/155rAbTUh7q24pynaJsQLu
Party songs,9pm (Till I Come),ATB,1999,http://open.spotify.com/track/1CgbwsrNDlFrRuk2ebQ7zr
Sex,Come Again,Au Pairs,1981,
Party songs,"Yes Sir, I Can Boogie",Baccara,1977,http://open.spotify.com/track/268jT4m5ztrceh5qdzpQ68
Heartbreak,Without You,Badfinger,1970,http://open.spotify.com/track/5GFV9C9D7EztSc0bMzF9ss
Love,The Shining,Badly Drawn Boy,2000,http://open.spotify.com/track/2PojSoZ94AIzp7fsz6wtMt
Life and death,Madness,Baggy Trousers,1980,
Party songs,Jimmy Jimmy Aaja,Bappi Lahiri/Parvati Khan,1982,http://open.spotify.com/track/4I0v1IDuMR868pgT7y5PPM
Sex,Guilty,Barbra Streisand and BarryÂ Gibb,1981,http://open.spotify.com/track/60mGckXEG1EzR4VmjYLfEW
Life and death,Here I Come,Barrington Levy,1985,http://open.spotify.com/track/4oKntjpTrsvHoQSCv6SxPV
Politics and protest,Eve of Destruction,Barry McGuire,1965,http://open.spotify.com/track/56PQfk2z3WaHJFTaz17kBo
Heartbreak,The Thrill is Gone,BB King,1969,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB
Party songs,(You Gotta) Fight for Your Right (To Party),Beastie Boys,1987,http://open.spotify.com/track/47jYDzCytZHNQkCEfs8Dgf
Party songs,Night Fever,Bee Gees,1978,http://open.spotify.com/track/66wpCqkkM6MrxXSbfgmsrh
Heartbreak,The Boy Done Wrong Again,Belle and Sebastian,1996,http://open.spotify.com/track/4lNs7YerSrW3dxxWHDRSIs
Love,Stand By Me,Ben E King,1961,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF
People and places,Spanish Harlem,Ben E King,1961,http://open.spotify.com/track/3UCmuRdeTriWgOZMEJsfqZ
Party songs,Night,Benga and Coki,2007,
Sex,Empty Bed Blues,Bessie Smith,1928,http://open.spotify.com/track/3WJNDpUfN9RiWbVNSXteoD
Heartbreak,Let Me Down Easy,Bettye LaVette,1965,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH
Heartbreak,(My Heart Is) Closed for the Season  ,Bettye Swann,1968,http://open.spotify.com/track/6AS7rbXQIE2cSCtNXg3RPm
Love,Crazy in Love,BeyoncÃ©,2003,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
Sex,"Shake, Rattle and Roll",Big Joe Turner,1954,http://open.spotify.com/track/7aLoa1F3EoM8AeC6Ao1RKz
Sex,Kangaroo,Big Star,1978,
Love,Thirteen,Big Star,1972,
Heartbreak,Please Give Me Something,Bill Allen and the Backbeats,1958,http://open.spotify.com/track/66auDFwg9lKmIYGQzEwHn5
Love,Lean on Me,Bill Withers,1972,http://open.spotify.com/track/4IXTOcB1eMoE7dkBs6oRHr
Heartbreak,Use Me,Bill Withers,1972,http://open.spotify.com/track/7bIC3bWre8rInwCizxLMPQ
Heartbreak,Ainâ€™t No Sunshine,Bill Withers,1971,http://open.spotify.com/track/7u9s9Kn0J9U69J0qQV3E5M
Life and death,Grandmaâ€™s Hands,Bill Withers,1971,http://open.spotify.com/track/1qfDfZAvrkSAFrAR2FTQDv
Life and death,Gloomy Sunday,Billie Holiday,1941,http://open.spotify.com/track/3kksPdaT31d5IcoP6GPu5I
Politics and protest,Strange Fruit,Billie Holliday,1939,http://open.spotify.com/track/67q3zVsJsPRks4k0eomEWy
People and places,Levi Stubbsâ€™ Tears,Billy Bragg,1986,
Politics and protest,Between the Wars,Billy Bragg,1985,
Sex,Me and Mrs Jones,Billy Paul,1972,http://open.spotify.com/track/5GYcaVfaFBHe2gzA6Oybgj
People and places,Chancery Lane,Bim Sherman,1978,
People and places,Brother Can You Spare a Dime?,Bing Crosby,1932,http://open.spotify.com/track/2Ei1sEtJU0ENRvk3sKZx0X
Politics and protest,Brother Can You Spare a Dime?,Bing Crosby,1932,http://open.spotify.com/track/2Ei1sEtJU0ENRvk3sKZx0X
Party songs,Big Time Sensuality,BjÃ¶rk,1993,http://open.spotify.com/track/2MaZUlTMFaTWYH7VnQL6rk
Politics and protest,War Pigs,Black Sabbath,1971,http://open.spotify.com/track/1V0mETNS6mfKRtihAMTtxy
Life and death,Paranoid,Black Sabbath,1970,http://open.spotify.com/track/7eWOuDHQOa6lNLLtQSMIdN
Politics and protest,How Can a Poor Man Stand Such Times and Live?,Blind Alfred Reed,1929,http://open.spotify.com/track/0kKl93KcM7R4qtU7wp4ake
Heartbreak,One Way Or Another,Blondie,1979,http://open.spotify.com/track/5Q7cE6wGHMehLFo2ppkk5D
Heartbreak,Heart of Glass,Blondie,1978,http://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM
Politics and protest,Melting Point,Blue Mink,1969,
Sex,Girls and Boys,Blur,1994,http://open.spotify.com/track/3Y23PZn79fu2uaefLBCJyz
Life and death,This Is a Low,Blur,1994,http://open.spotify.com/track/1aQZJlD0KtNgZBkC74mTkd
People and places,For Tomorrow,Blur,1993,http://open.spotify.com/track/6j8paOITkZ5Ybrg5osqeVk
People and places,Roadrunner,Bo Diddley,1960,http://open.spotify.com/track/0D98Qv08oIWYoSgVigHy9a
People and places,Iâ€™ve Got to Go Back Home,Bob Andy,1966,
People and places,Blind Willie McTell,Bob Dylan,1991,http://open.spotify.com/track/2HT5jSAGQtNJ6nM8dhvrng
Life and death,Death Is Not the End,Bob Dylan,1988,
Life and death,Every Grain of Sand,Bob Dylan,1981,
Heartbreak,Idiot Wind,Bob Dylan,1975,http://open.spotify.com/track/6M4ch4i9qn5uWVrEeMGn9i
Heartbreak,"If You See Her, Say Hello",Bob Dylan,1975,http://open.spotify.com/track/16M0VBfpUnVkUfKknW1gar
Heartbreak,Tangled up in Blue,Bob Dylan,1975,http://open.spotify.com/track/3fSmfeHzyp33FHpVKqavaw
Politics and protest,Hurricane,Bob Dylan,1975,http://open.spotify.com/track/6ZRnk0vJtbgbReepK6m469
Love,Wedding Song,Bob Dylan,1974,http://open.spotify.com/track/6O5MMLdfCMSohn7uvSLXqS
Life and death,Forever Young,Bob Dylan,1974,http://open.spotify.com/track/1xOqdmOQsvP0dwZL5d46WA
Life and death,Knockinâ€™ On Heavenâ€™s Door,Bob Dylan,1973,http://open.spotify.com/track/0BemTX3XUeTyL8UgICqjkj
Sex,Lay Lady Lay,Bob Dylan,1969,http://open.spotify.com/track/6wo0JCftDQbbo9nsGKLzk2
Love,Visions of Johanna,Bob Dylan,1966,http://open.spotify.com/track/0D0fyyNszdh2FZeUoiHJx1
Heartbreak,Just Like a Woman,Bob Dylan,"1,966.00",http://open.spotify.com/track/6M5KL0LxCvXGr3j2mN4wE1
Heartbreak,Sheâ€™s Your Lover Now,Bob Dylan,1966,http://open.spotify.com/track/0TUtCqkeaNlR71xerbm6Xo
Sex,I Want You,Bob Dylan,1966,http://open.spotify.com/track/6hMr51jPiGsyI16VfO8wmO
People and places,Ballad of a Thin Man,Bob Dylan,1965,http://open.spotify.com/track/3Xbr9UqRIgo5I9Wna9sofg
People and places,Like a Rolling Stone,Bob Dylan,1965,http://open.spotify.com/track/4hR2PmKODnlFa5fe8iWzeo
Politics and protest,Maggieâ€™s Farm,Bob Dylan,1965,http://open.spotify.com/track/594Kh8VcfpZgFqeWrtlNnP
Politics and protest,The Times They Are a-Changinâ€™,Bob Dylan,1964,http://open.spotify.com/track/2zlP1bRIxUiEjApkELiGYd
Politics and protest,When the Ship Comes In,Bob Dylan,1964,http://open.spotify.com/track/0ILmjZkTZsPKjsZaEPmatw
Life and death,The Lonesome Death of Hattie Carroll,Bob Dylan,1964,
Love,Girl from the North Country ,Bob Dylan,1963,http://open.spotify.com/track/4OfkpX0bONH3eSHQilGDnA
Heartbreak,"Donâ€™t Think Twice, Itâ€™s All Right",Bob Dylan,1963,http://open.spotify.com/track/0K9nDgwZnLpg8FFG732fcU
Politics and protest,Masters of War,Bob Dylan,1963,http://open.spotify.com/track/56inmm09BxbQvjZfSexaSM
Love,Elusive Butterfly,Bob Lind,1966,http://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0
Politics and protest,Redemption Song,Bob Marley,1980,http://open.spotify.com/track/0RiNfhn21ykBakicd7igLK
Love,Is This Love?,Bob Marley,1978,http://open.spotify.com/track/6wwxa6n8kSf3Bd0apxe0iy
Politics and protest,Zimbabwe,Bob Marley and the Wailers,1979,http://open.spotify.com/track/3saDCpULymKQcyY8Ia0ULi
People and places,"No Woman, No Cry",Bob Marley and the Wailers,1974,http://open.spotify.com/track/2Fl520GM5Pq1yCxSruf3gj
Sex,Fancy,Bobbie Gentry,1969,http://open.spotify.com/track/6aarvZBVzYo3sp4NYOBqCp
Life and death,"Glory Hallelujah, How Theyâ€™llÂ Sing",Bobbie Gentry,1969,
Love,Iâ€™ll Take Care of You,Bobby â€œBlueâ€ù Bland,1959,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA
People and places,Ainâ€™t No Love in the Heart of the City,Bobby Bland,1974,
People and places,Beyond the Sea,Bobby Darin,1959,http://open.spotify.com/track/1xeEkk0av46GZ4Ztq1dUEM
People and places,Mack the Knife ,Bobby Darin,1959,http://open.spotify.com/track/35hKX7JI7gvQ0oKna8895l
Politics and protest,I Fought the Law,Bobby Fuller Four,1965,http://open.spotify.com/track/6Um3XCAxl9YfFmAnGl93xc
Politics and protest,Cop Killer,Body Count,1992,
Heartbreak,Flume,Bon Iver,2008,http://open.spotify.com/track/6WlS5FP9XcB410zta3C67v
Heartbreak,Bed is For Sleeping,Bonnie â€˜Princeâ€™ Billy and Matt Sweeney,2005,
Sex,Tent,Bonzo Dog Doo-Dah Band,1969,http://open.spotify.com/track/1Iv81TnJcanYzk4uyewcNi
Politics and protest,Stop the Violence,Boogie Down Productions,1988,
Sex,Cruisinâ€™ the Streets,Boys Town Gang,1981,
Heartbreak,Lua,Bright Eyes,2005,http://open.spotify.com/track/5bGoxCHvVavcFeQnI6NvUz
Politics and protest,When the President Talks to God,Bright Eyes,2005,http://open.spotify.com/track/1ScpEIsS1pVNXWafHc3tat
Sex,â€_ Baby One More Time,Britney Spears,1998,http://open.spotify.com/track/52SrRaRC2SlJ2dno1flkg2
People and places,Smalltown Boy,Bronski Beat,1984,http://open.spotify.com/track/1nz1xzqPN4xYZtR4zgiLxt
Politics and protest,Smalltown Boy,Bronski Beat,1984,http://open.spotify.com/track/1nz1xzqPN4xYZtR4zgiLxt
Sex,Iâ€™m On Fire,Bruce Springsteen,1985,http://open.spotify.com/track/0BDQUifzYaoHojBcnqwH7U
Politics and protest,Born in the USA,Bruce Springsteen,1984,http://open.spotify.com/track/36b2xkXNJKRCWeUrsC3jyQ
Life and death,No Surrender,Bruce Springsteen,1984,http://open.spotify.com/track/5eMjyo7t0lAl5PobsAqSe2
People and places,Born to Run,Bruce Springsteen,1975,http://open.spotify.com/track/3JlWTo11ustqpPS1V7Jivs
Politics and protest,American Skin (41 Shots),Bruce Springsteen and the E Street Band,2000,http://open.spotify.com/track/541WSNfHqYIzq61XXWQJJl
Love,Letâ€™s Stick Together,Bryan Ferry,1976,http://open.spotify.com/track/47KlEDyoBmF5ulJu6qmcHo
Love,Sit Down I Think I Love You,Buffalo Springfield,1966,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX
Politics and protest,Now That The Buffalo's Gone,Buffy Sainte-Marie,1964,http://open.spotify.com/track/6yacBc7zjbSG2ebrwtLhtJ
Politics and protest,Slavery Days,Burning Spear,1975,http://open.spotify.com/track/1YiCnD7YmmCXWLregZmdoM
Heartbreak,Ever Fallen in Love (With Someone You Shouldnâ€™tâ€™ve),Buzzcocks,1978,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I
Sex,Orgasm Addict,Buzzcocks,1977,http://open.spotify.com/track/4iUvyJkurdF6iDzdY4Z4al
People and places,Minnie the Moocher,Cab Calloway,1931,http://open.spotify.com/track/1Ns0szGnyIV7BLkWsrkdVu
Party songs,Young Hearts Run Free,Candi Staton,1976,http://open.spotify.com/track/3MFa9idQuY4iJLWsZl3tIQ
Party songs,"Land of 1,000 Dances",Cannibal and the Headhunters,1965,http://open.spotify.com/track/0WRQZg69vaeU0fB2EHGAEw
Party songs,Love Will Keep Us Together,Captain and Tennille ,1975,http://open.spotify.com/track/10pcZvQ4QTKeHRvTUAeHVD
Politics and protest,I Was Born This Way,Carl Bean,1977,
Love,Love Me Forever,Carlton and the Shoes,1968,
Heartbreak,Nobody Does it Better,Carly Simon,1977,http://open.spotify.com/track/240vi0Gt8ZOdPwC1PbzfUJ
Heartbreak,Youâ€™re So Vain,Carly Simon,1972,http://open.spotify.com/track/46aRTYYXkN8ok6fnv9ljvr
Heartbreak,Itâ€™s Too Late,Carole King,1971,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7
Sex,I Feel the Earth Move,Carole King,1971,http://open.spotify.com/track/437fpvkvab2A1kyZWr99u1
Politics and protest,Just Say No,Cast of Grange Hill,1986,
Politics and protest,Peace Train,Cat Stevens,1971,http://open.spotify.com/track/0kPj8oXqC8iz8AYJc3UUka
Party songs,Someday,Ce Ce Rogers,1987,
Life and death,Iâ€™m On My Way to a BetterÂ Place,Chairmen of the Board,1972,
Party songs,Le Freak,Chic,1978,http://open.spotify.com/track/4HHQNuSudz9yv7piGFMchm
Life and death,Fat As a Fiddle,Chris Difford,2008,
Politics and protest,The Cottagerâ€™s Reply,Chris Wood,2008,
Sex,My Ding-a-Ling,Chuck Berry,1972,http://open.spotify.com/track/2x54atSzwJO7zngKHdePjb
People and places,No Particular Place to Go,Chuck Berry,1964,http://open.spotify.com/track/0ibuBDbT4tKNA1ugKK92AI
People and places,"Memphis, Tennessee",Chuck Berry,1959,http://open.spotify.com/track/289AKX6diQ7eCcvJLb5pC3
Love,Sweet Little Sixteen,Chuck Berry,1958,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo
People and places,Johnny B Goode,Chuck Berry,1958,http://open.spotify.com/track/78gvEiVlnMd1f5adOHjJxP
Party songs,Weekend,Class Action,1981,
Heartbreak,The Scientist,Coldplay,2002,http://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
Love,Yellow,Coldplay,2000,http://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Love,"Letâ€™s Do It, Letâ€™s Fall in Love",Cole Porter,1928,
Party songs,Machine Gun,Commodores,1974,http://open.spotify.com/track/2INLSpeJq53F0HtnNHV3Ad
Party songs,Brimful of Asha,Cornershop,1997,http://open.spotify.com/track/3Zh5cecN8TqelTN30SJUww
Politics and protest,The â€œFishâ€ù Cheer/I-Feel-Like-Iâ€™m-Fixinâ€™-to-Die Rag,Country Joe and the Fish,"1,967.00",
Politics and protest,Ohio,"Crosby, Stills, Nash and Young",1970,http://open.spotify.com/track/0eFqH9smOTiNNecXMpFIi2
Party songs,Somebody Oughta Turn YourÂ Head Around,Crystal Mansion,1972,
Sex,Letâ€™s Make Love and Listen to Death from Above,CSS,2006,http://open.spotify.com/track/4Cz17oLEdM9MY5BYtd0S2N
Party songs,Move On Up,Curtis Mayfield,1970,http://open.spotify.com/track/6evohxlACvIJ6vAs1083NQ
Party songs,Girls Just Want to Have Fun,Cyndi Lauper,1983,http://open.spotify.com/track/7sMGwiS4vOMcz86ZY3vKYM
Sex,Brown Sugar,Dâ€™Angelo,1995,http://open.spotify.com/track/3tyUh8UpK0PVu00AjbP1UG
Party songs,Da Funk,Daft Punk,1995,http://open.spotify.com/track/0MyY4WcN7DIfbSmp5yej5z
Politics and protest,Thou Shalt Always Kill,Dan Le Sac vs Scroobius Pip,2007,http://open.spotify.com/track/2dG4zJhjTK9BkcQQTM9A57
Heartbreak,Some Things Last a Long Time,Daniel Johnston,1990,
Life and death,Never Get Old,David Bowie,2003,
Love,The Wedding Song,David Bowie,"1,993.00",http://open.spotify.com/track/0PUmT62MdJwmVf4sUjbHFW
Party songs,Letâ€™s Dance,David Bowie,"1,983.00",http://open.spotify.com/track/2nIuUXnHHzS3wymUhJdVa8
Heartbreak,Repetition,David Bowie,1979,http://open.spotify.com/track/6Q4S1KWuAg082DHm6BsazJ
Love,Heroes,David Bowie,1977,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2
People and places,Life On Mars?,David Bowie,"1,971.00",http://open.spotify.com/track/1EdKQ7nYYmMEsrcehcHf4Q
Life and death,Kooks,David Bowie,1971,http://open.spotify.com/track/4t1XVKQQxxutKSQxBU1ajq
Heartbreak,Letter to Hermione,David Bowie,1969,http://open.spotify.com/track/13YcDQxaOktczzQBliAISJ
People and places,Space Oddity,David Bowie,1969,http://open.spotify.com/track/7IBfmCrfaR3SLVemWhsucQ
Politics and protest,California Ãœber Alles,Dead Kennedys,"1,979.00",http://open.spotify.com/track/5szJ8SMwQVEvvdk65w6M6g
Party songs,Groove Is in the Heart,Deee-Lite,1990,http://open.spotify.com/track/2UVLuddklEVak5PXgC7baA
Love,Pour Some Sugar on Me,Def Leppard,1987,
Life and death,Personal Jesus,Depeche Mode,1989,http://open.spotify.com/track/70CZdyut5PuhQWgf1lkGXX
Party songs,Just Canâ€™t Get Enough,Depeche Mode,1981,http://open.spotify.com/track/4DAEaxpxKJy0Hq5mAiEnOO
Heartbreak,Layla,Derek and the Dominos,1970,http://open.spotify.com/track/1KDsONFxp3YtnJTaLeWFIi
People and places,007 (Shanty Town),Desmond Dekker,1967,http://open.spotify.com/track/7hwvbkchjTc5JXEZ4xmQX7
Sex,Say My Name,Destinyâ€™s Child,1999,http://open.spotify.com/track/2gSyc23Hua25fqSFpgAh6W
Party songs,Whip It,Devo,1980,http://open.spotify.com/track/6QG0wcgoCsa9pqFyTg0rRO
Sex,Come On Eileen,Dexys Midnight Runners,1982,http://open.spotify.com/track/7L1h8TN56ynoes6aZ4kNs2
People and places,Geno,Dexys Midnight Runners,1980,http://open.spotify.com/track/7gb626DDDHoiuVAGZEnlJk
Politics and protest,Iâ€™m Coming Out,Diana Ross,"1,980.00",http://open.spotify.com/track/0ew27xRdxSexrWbODuLfeE
Sex,Love Child,Diana Ross and the Supremes,1968,http://open.spotify.com/track/2OukOzuIXcJFz9apg4gSuM
Politics and protest,VÃ_ctor Jara of Chile,Dick Gaughan,1985,
Party songs,Cokane in My Brain,Dillinger,1976,http://open.spotify.com/track/4qhRH8f3Du6ooDZFaKou45
Love,Mad About the Boy,Dinah Washington,1952,http://open.spotify.com/track/3q393Yh4k0cu2wlTgyiW4v
Love,Born to Be With You,Dion,1975,
People and places,The Wanderer,Dion,"1,961.00",http://open.spotify.com/track/0tk8p69r1Ed2OuqiXxHdAQ
Love,A Teenager in Love,Dion & the Belmonts,1960,http://open.spotify.com/track/17iHLt9yQLLeBN3g1woXzB
People and places,Do You Know the Way to San JosÃ©,Dionne Warwick,1968,http://open.spotify.com/track/3lVRhqxAiipuI4kPz4TF5W
Heartbreak,Walk on By,Dionne Warwick,1964,http://open.spotify.com/track/6xS9VDmREYFio4BNGFImjc
Sex,I Touch Myself,Divinyls,1991,http://open.spotify.com/track/6oNvmplQGUkmAh441Teows
Politics and protest,Not Ready to Make Nice,Dixie Chicks,2006,http://open.spotify.com/track/65SgC0WRidtEYjWp4wwBDs
Life and death,9 to 5,Dolly Parton,1980,http://open.spotify.com/track/5UWYJWoVXRpaLuzzXmHqg8
Love,I Will Always Love You,Dolly Parton,1974,http://open.spotify.com/track/1n3q9eF2qqOaWHBBQHLRXw
Heartbreak,Jolene,Dolly Parton,1973,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
People and places,Vincent,Don McLean,1971,http://open.spotify.com/track/6b2rn4db84W8Ntz66LHi53
Love,I Feel Love ,Donna Summer,1977,http://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1
Sex,Love to Love You Baby,Donna Summer,1975,http://open.spotify.com/track/3XlWYam3ILQ9txcjjjJixQ
Love,Puppy Love,Donny Osmond,1972,http://open.spotify.com/track/3ABtW1kSCzKlJGGDYFH7GV
Life and death,Sunshine Superman,Donovan,1966,http://open.spotify.com/track/6HPxuDcDYHPAfyxIm796Cd
People and places,Sunny Goodge Street,Donovan,1965,http://open.spotify.com/track/0W0WuexnXG8xdSnTIHKnrQ
Party songs,Long Train Runninâ€™,Doobie Brothers,1973,http://open.spotify.com/track/6DwWChkbqCyv1wwflMkLRZ
Heartbreak,Beware of Young Girls,Dory Previn,1970,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
People and places,Black and White Town,Doves,2005,http://open.spotify.com/track/1RJxjF2aOMi1JLJ9K2PUJj
Party songs,Bedazzled,Dudley Moore and Peter Cook,1967,
Heartbreak,Warwick Avenue,Duffy ,2008,http://open.spotify.com/track/5Og47k4AHrotP2QP36p5iO
Heartbreak,You Donâ€™t Have to Say You Love Me,Dusty Springfield,1966,http://open.spotify.com/track/2djMjbwwD6aeN029drEul0
Heartbreak,I Just Donâ€™t Know What to Do With Myself,Dusty Springfield,1964,http://open.spotify.com/track/4qrEIcw64kbDgSK5QRkkAC
Party songs,Boogie Wonderland,"Earth, Wind and Fire",1979,http://open.spotify.com/track/0jyElqUm59deyol951jPsr
Heartbreak,The Killing Moon,Echo and the Bunnymen,1984,http://open.spotify.com/track/15049rGLXHwrWtE4euUb5C
Life and death,Câ€™mon Everybody,Eddie Cochran,1958,http://open.spotify.com/track/1q2JUOBJqs0ezWvf0Rkm4f
People and places,So What (Miles),Eddie Jefferson,1961,http://open.spotify.com/track/0PCrDhGtjxU660QHLUHYYc
Politics and protest,War,Edwin Starr,1970,http://open.spotify.com/track/0cs3dkKsYJwdauvRRJaCOm
Sex,Vaseline,Elastica,1995,http://open.spotify.com/track/3CFreeQN3KprsAO9Io0MpP
Sex,Stutter,Elastica,1993,http://open.spotify.com/track/6R8t6SQX1692z5S112XMkJ
Love,One Day Like This,Elbow,2008,http://open.spotify.com/track/6PS9nzG6GUSPbD2A1xGWbm
Heartbreak,My Very Best,Elbow,2006,
People and places,Station Approach,Elbow,2005,
Party songs,Talking With Myself,Electribe 101,1988,http://open.spotify.com/track/3f51nzhw9mL1iUUYehPYCg
Party songs,Livinâ€™ Thing,Electric Light Orchestra,1976,http://open.spotify.com/track/7l6rfNKHyD8MsXkJztfzFi
Life and death,Summertime,Ella Fitzgerald,1959,http://open.spotify.com/track/6igoGVFPInRBwkf4YawNRu
Love,Evâ€™ry Time We Say Goodbye,Ella Fitzgerald,"1,956.00",http://open.spotify.com/track/50KK7LxalUrWPtZxlhBJhn
Sex,Between the Bars,Elliott Smith,1997,http://open.spotify.com/track/6UgmVIVyznBDdkpqkKyc1O
Heartbreak,I Guess Thatâ€™s Why They Call it the Blues,Elton John,1983,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6
